ZIP,LAT,LONG
1970,42.529248,-70.868017
1982,42.626223,-70.85723
1983,42.641387,-70.943383
1984,42.600668,-70.88326
1985,42.799565,-70.964428
2019,42.076682,-71.47449
2021,42.175737,-71.125385
2025,42.236444,-70.814309
2026,42.246872,-71.179462
2030,42.23416,-71.291167
2032,42.156882,-71.216187
2035,42.061338,-71.245802
2038,42.084858,-71.410571
2043,42.216098,-70.88127
2045,42.28587,-70.879517
2047,42.145534,-70.69505
2048,42.017302,-71.21642
2050,42.115139,-70.710331
2052,42.184599,-71.305307
2053,42.156203,-71.430345
2054,42.173103,-71.363756
2056,42.116244,-71.329274
2061,42.164569,-70.818844
2062,42.187389,-71.192477
2066,42.202273,-70.758184
2067,42.1076,-71.181828
2071,42.106425,-71.268951
2072,42.119006,-71.10365
2081,42.147403,-71.257972
2090,42.219645,-71.216768
2093,42.052671,-71.356858
2108,42.355097,-71.065737
2109,42.366919,-71.050416
2110,42.358254,-71.051927
2111,42.35068,-71.060527
2113,42.365264,-71.055222
2114,42.363651,-71.066888
2115,42.339422,-71.094531
2116,42.350979,-71.076591
2118,42.33786,-71.069805
2119,42.324066,-71.085188
2120,42.332134,-71.096606
2121,42.305403,-71.086971
2122,42.295088,-71.052533
2124,42.285922,-71.075046
2125,42.315682,-71.055555
2126,42.277436,-71.089968
2127,42.335301,-71.038216
2128,42.361519,-71.007393
2129,42.379657,-71.061487
2130,42.308175,-71.113471
2131,42.282323,-71.124746
2132,42.279082,-71.160449
2133,42.358352,-71.063858
2134,42.358786,-71.129581
2135,42.349688,-71.153964
2136,42.254749,-71.127072
2138,42.379637,-71.135152
2139,42.362391,-71.102336
2140,42.392157,-71.133996
2141,42.3703,-71.08256
2142,42.362505,-71.08096
2143,42.381398,-71.096721
2144,42.400077,-71.123088
2145,42.391577,-71.08991
2148,42.42938,-71.058706
2149,42.405938,-71.054649
2150,42.396824,-71.031348
2151,42.41829,-71.001251
2152,42.377382,-70.977026
2155,42.42384,-71.107673
2163,42.367226,-71.125092
2169,42.240016,-71.015205
2170,42.266415,-71.015576
2171,42.29147,-71.025822
2176,42.455723,-71.059019
2180,42.474208,-71.097665
2184,42.206188,-71.00232
2186,42.241559,-71.082437
2188,42.204662,-70.957633
2189,42.211968,-70.929639
2190,42.166731,-70.952363
2191,42.245077,-70.946528
2199,42.347476,-71.082033
2203,42.361445,-71.059453
2205,42.349403,-71.055621
2210,42.348036,-71.039283
2215,42.347635,-71.103082
2301,42.078371,-71.042304
2302,42.088907,-70.998375
2322,42.132461,-71.054013
2324,41.972376,-70.978773
2325,41.990101,-70.962408
2330,41.875179,-70.746715
2332,42.044407,-70.70606
2333,42.037116,-70.942178
2338,42.002634,-70.863706
2339,42.122956,-70.85631
2341,42.05024,-70.867359
2343,42.140346,-70.997861
2346,41.878004,-70.869267
2347,41.834384,-70.956826
2350,42.021013,-70.845791
2351,42.115764,-70.956597
2356,42.060539,-71.119671
2357,42.063974,-71.077368
2359,42.067804,-70.805713
2360,41.882062,-70.631289
2364,41.987196,-70.741942
2366,41.848753,-70.661176
2367,41.9591,-70.802753
2368,42.178993,-71.052654
2370,42.129251,-70.908736
2375,42.00569,-71.078041
2379,42.021617,-71.026717
2382,42.078974,-70.93939
2420,42.459061,-71.217728
2421,42.438547,-71.239573
2445,42.325483,-71.135045
2446,42.343499,-71.122244
2451,42.40153,-71.252997
2452,42.395609,-71.219947
2453,42.368685,-71.241103
2457,42.298309,-71.27302
2458,42.353585,-71.188192
2459,42.314779,-71.192017
2460,42.351824,-71.20849
2461,42.317362,-71.206508
2462,42.331675,-71.255947
2464,42.312975,-71.218882
2465,42.349533,-71.227339
2466,42.345514,-71.247661
2467,42.314321,-71.152778
2468,42.329175,-71.231583
2472,42.369451,-71.177925
2474,42.420949,-71.15637
2476,42.41648,-71.173487
2478,42.395317,-71.180284
2481,42.310514,-71.277769
2482,42.293274,-71.296442
2492,42.276483,-71.243714
2493,42.360502,-71.303433
2494,42.299563,-71.231215
2532,41.749522,-70.594928
