concept_id,condition_count,patient_count
35790643,20,20
35790644,20,20
35790729,20,20
35790740,20,20
35790799,20,20
35790815,20,20
35791134,20,20
35791438,20,20
35791450,20,20
35791451,20,20
35791759,20,20
35791767,20,20
35791768,20,20
35791891,20,20
35792080,20,20
35792091,20,20
35792203,20,20
35792403,20,20
35792410,20,20
35792411,20,20
35792412,20,20
35792524,20,20
35792704,20,20
35792826,20,20
35793044,20,20
35793340,20,20
35793461,20,20
35793654,20,20
35795008,20,20
35795012,20,20
35795038,20,20
35795061,20,20
35795113,20,20
35795117,20,20
35795129,20,20
35795163,20,20
35795178,20,20
35795181,20,20
35795187,20,20
35795203,20,20
35795205,20,20
35795219,20,20
35795220,20,20
35795256,20,20
35795267,20,20
35795268,20,20
35795324,20,20
35795333,20,20
35795334,20,20
35795335,20,20
35795350,20,20
35795362,20,20
35795388,20,20
35795441,20,20
35795488,20,20
35795537,20,20
35795614,20,20
35795655,20,20
35795829,20,20
35795858,20,20
35795869,20,20
35795873,20,20
35795875,20,20
35795883,20,20
35795884,20,20
35795885,20,20
35795887,20,20
35795911,20,20
35795914,20,20
35795915,20,20
35795920,20,20
35795922,20,20
35795923,20,20
35795924,20,20
35795959,20,20
35795972,20,20
35795973,20,20
35795974,20,20
35795975,20,20
35796003,20,20
35796040,20,20
35796041,20,20
35796045,20,20
35796053,20,20
35796054,20,20
35796055,20,20
35796056,20,20
35796068,20,20
35796085,20,20
35796097,20,20
35796098,20,20
35796099,20,20
35796100,20,20
35796109,20,20
35796127,20,20
35796137,20,20
35796158,20,20
35796162,20,20
35796184,20,20
35796281,20,20
35796290,20,20
35796299,20,20
35796329,20,20
35796365,20,20
35796500,20,20
35796602,20,20
35796618,20,20
35796625,20,20
35796626,20,20
35796627,20,20
35796628,20,20
35796629,20,20
35796630,20,20
35796631,20,20
35796667,20,20
35796684,20,20
35796687,20,20
35796688,20,20
35796689,20,20
35796690,20,20
35796691,20,20
35796771,20,20
35796774,20,20
35796775,20,20
35796776,20,20
35796777,20,20
35796853,20,20
35796854,20,20
35796855,20,20
35796856,20,20
35796857,20,20
35796879,20,20
35796880,20,20
35796932,20,20
35796945,20,20
35796955,20,20
35796969,20,20
35797012,20,20
35797013,20,20
35797014,20,20
35797015,20,20
35797051,20,20
35797101,20,20
35797106,20,20
35797107,20,20
35797162,20,20
35797166,20,20
35797191,20,20
35797196,20,20
35797197,20,20
35797219,20,20
35797220,20,20
35797249,20,20
35797250,20,20
35797268,20,20
35797269,20,20
35797270,20,20
35797271,20,20
35797277,20,20
35797301,20,20
35797303,20,20
35797304,20,20
35797305,20,20
35797310,20,20
35797322,20,20
35797341,20,20
35797352,20,20
35797375,20,20
35797376,20,20
35797455,20,20
35797457,20,20
35797458,20,20
35797459,20,20
35797460,20,20
35797461,20,20
35797462,20,20
35797527,20,20
35797534,20,20
35797535,20,20
35797536,20,20
35797537,20,20
35797538,20,20
35797539,20,20
35797540,20,20
35797547,20,20
35797560,20,20
35797622,20,20
35797623,20,20
35797701,20,20
35797704,20,20
35797733,20,20
35797774,20,20
35797779,20,20
35797782,20,20
35797792,20,20
35797793,20,20
35797861,20,20
35797864,20,20
35797882,20,20
35797883,20,20
35797884,20,20
35797885,20,20
35797886,20,20
35797887,20,20
35797915,20,20
35797934,20,20
35797936,20,20
35797972,20,20
35797980,20,20
35797981,20,20
35797982,20,20
35798003,20,20
35798110,20,20
35798111,20,20
35798112,20,20
35798168,20,20
35798169,20,20
35798170,20,20
35798171,20,20
35798172,20,20
35798173,20,20
35798175,20,20
35798176,20,20
35798177,20,20
35798178,20,20
35798179,20,20
35798180,20,20
35798226,20,20
35798227,20,20
35798228,20,20
35798229,20,20
35798230,20,20
35798236,20,20
35798237,20,20
35798238,20,20
35798239,20,20
35798240,20,20
35798241,20,20
35798242,20,20
35798244,20,20
35798249,20,20
35798250,20,20
35798251,20,20
35798252,20,20
35798254,20,20
35798255,20,20
35798257,20,20
35798258,20,20
35798259,20,20
35798262,20,20
35798263,20,20
35798264,20,20
35798265,20,20
35798266,20,20
35798267,20,20
35798268,20,20
35798269,20,20
35798270,20,20
35798275,20,20
35798276,20,20
35798277,20,20
35798278,20,20
35798279,20,20
35798282,20,20
35798290,20,20
35798291,20,20
35798292,20,20
35798293,20,20
35798294,20,20
35798295,20,20
35798296,20,20
